1	Skill:obsidian-research	研究一下 Obsidian Bases 和 Dataview 的差異，寫成筆記放進我的 vault
2	Skill:obsidian-research	幫我研究台灣半導體補助政策，整理成研究筆記
3	Skill:obsidian-research	把「遠端工作對生產力的影響」研究清楚，存到 research 資料夾
4	Skill:obsidian-research	我想要一篇關於 RAG 評估指標的研究筆記
5	Skill:obsidian-research	研究 Notion 和 Obsidian 的優缺點，寫一篇筆記給我
6	Skill:obsidian-research	調查一下江戶時代的貨幣制度，寫成 Obsidian 筆記
7	Skill:obsidian-research	幫我做一份 LLM 量化技術的研究筆記，要有來源和目錄
8	Skill:obsidian-research	研究一下韓國的外送平台市場，整理成筆記存進 vault
9	Skill:obsidian-research	寫一篇研究筆記：電動機車換電網路在台灣的普及現況
10	Skill:obsidian-research	研究一下日本的推し活經濟，然後寫成我 vault 裡的研究筆記
11	Skill:obsidian-research	日本の推し活市場を調べて、研究ノートにまとめて
12	Skill:obsidian-research	生成AIの著作権問題を調べてノートにまとめてください
13	Skill:obsidian-research	Obsidianの研究ノートとして、国内SaaS市場の動向を調査して保存して
14	Skill:obsidian-research	ローカルLLMの実行環境を比較調査して、Vaultにノートを作って
15	Skill:obsidian-research	台湾のコンビニ業界を調べてリサーチノートにして
16	Skill:obsidian-research	Research the history of the Pomodoro technique and save it as a note in my vault
17	Skill:obsidian-research	Write a research note in my Obsidian vault comparing Rust and Go for CLI tools
18	Skill:obsidian-research	Research EU AI Act obligations for startups into a note with sources
19	Skill:obsidian-research	Can you research how public libraries are adapting to e-books and turn it into a research note?
20	Skill:obsidian-research	Investigate the evidence on intermittent fasting and write it up as a note in research/
