plain	1	1	plain-research	research-team
plain	1	2	plain-research	research-team
vault	1	1	plain-research	obsidian-research
vault	1	2	plain-research	obsidian-research
plain	2	1	plain-research	research-team
plain	2	2	plain-research	research-team
vault	2	1	plain-research	obsidian-research
vault	2	2	plain-research	obsidian-research
plain	3	1	plain-research	research-team
plain	3	2	plain-research	research-team
vault	3	1	plain-research	obsidian-research
vault	3	2	plain-research	obsidian-research
plain	4	1	plain-research	research-team
plain	4	2	plain-research	research-team
vault	4	1	plain-research	obsidian-research
vault	4	2	plain-research	obsidian-research
plain	5	1	plain-research	research-team
plain	5	2	plain-research	research-team
vault	5	1	plain-research	obsidian-research
vault	5	2	plain-research	obsidian-research
plain	6	1	plain-research	research-team
plain	6	2	plain-research	research-team
vault	6	1	plain-research	obsidian-research
vault	6	2	plain-research	obsidian-research
plain	7	1	quick-fact	NONE
plain	7	2	quick-fact	NONE
vault	7	1	quick-fact	NONE
vault	7	2	quick-fact	NONE
plain	8	1	fact-check	fact-check
plain	8	2	fact-check	fact-check
vault	8	1	fact-check	fact-check
vault	8	2	fact-check	fact-check
plain	9	1	wiki-gap	wiki-auto-research
plain	9	2	wiki-gap	wiki-auto-research
vault	9	1	wiki-gap	wiki-auto-research
vault	9	2	wiki-gap	wiki-auto-research
plain	10	1	chat-only	research-team
plain	10	2	chat-only	research-team
vault	10	1	chat-only	research-team
vault	10	2	chat-only	research-team
plain	11	1	debug	NONE
plain	11	2	debug	NONE
vault	11	1	debug	NONE
vault	11	2	debug	NONE
