fire	研究一下 Obsidian Bases 和 Dataview 的差異，寫成筆記放進我的 vault
fire	幫我研究台灣半導體補助政策，整理成研究筆記
fire	把「遠端工作對生產力的影響」研究清楚，存到 research 資料夾
fire	我想要一篇關於 RAG 評估指標的研究筆記
fire	研究 Notion 和 Obsidian 的優缺點，寫一篇筆記給我
fire	調查一下江戶時代的貨幣制度，寫成 Obsidian 筆記
fire	幫我做一份 LLM 量化技術的研究筆記，要有來源和目錄
fire	研究一下韓國的外送平台市場，整理成筆記存進 vault
fire	寫一篇研究筆記：電動機車換電網路在台灣的普及現況
fire	研究一下日本的推し活經濟，然後寫成我 vault 裡的研究筆記
fire	日本の推し活市場を調べて、研究ノートにまとめて
fire	生成AIの著作権問題を調べてノートにまとめてください
fire	Obsidianの研究ノートとして、国内SaaS市場の動向を調査して保存して
fire	ローカルLLMの実行環境を比較調査して、Vaultにノートを作って
fire	台湾のコンビニ業界を調べてリサーチノートにして
fire	Research the history of the Pomodoro technique and save it as a note in my vault
fire	Write a research note in my Obsidian vault comparing Rust and Go for CLI tools
fire	Research EU AI Act obligations for startups into a note with sources
fire	Can you research how public libraries are adapting to e-books and turn it into a research note?
fire	Investigate the evidence on intermittent fasting and write it up as a note in research/
not:deep-deep-research	徹底研究量子運算的商業化進展，給我一份多來源交叉查證的完整報告就好，不用存筆記
not:deep-deep-research	Do an exhaustive multi-source verified report on lithium supply chains; just give me the report here
not:fact-check	「日本人平均每年喝 400 杯咖啡」這個說法是真的嗎？
not:wiki-auto-research	掃描我 wiki 裡的 Open Questions，上網把缺口補齊
not:obsidian-tldr	把我們這次對話的結論存到 vault
not:none	簡單跟我說一下 RAG 是什麼就好
ambiguous	研究一下 Tailwind CSS v5 有什麼新功能
ambiguous	日本の少子化対策について調べて
ambiguous	Look into the pros and cons of SQLite for mobile apps
