1	1	fire	obsidian-research
1	2	fire	obsidian-research
2	1	fire	obsidian-research
2	2	fire	obsidian-research
3	1	fire	obsidian-research
3	2	fire	obsidian-research
4	1	fire	obsidian-research
4	2	fire	obsidian-research
5	1	fire	obsidian-research
5	2	fire	obsidian-research
6	1	fire	obsidian-research
6	2	fire	obsidian-research
7	1	fire	obsidian-research
7	2	fire	obsidian-research
8	1	fire	obsidian-research
8	2	fire	obsidian-research
9	1	fire	obsidian-research
9	2	fire	obsidian-research
10	1	fire	obsidian-research
10	2	fire	obsidian-research
11	1	fire	obsidian-research
11	2	fire	obsidian-research
12	1	fire	obsidian-research
12	2	fire	obsidian-research
13	1	fire	obsidian-research
13	2	fire	obsidian-research
14	1	fire	obsidian-research
14	2	fire	obsidian-research
15	1	fire	obsidian-research
15	2	fire	obsidian-research
16	1	fire	obsidian-research
16	2	fire	obsidian-research
17	1	fire	obsidian-research
17	2	fire	obsidian-research
18	1	fire	obsidian-research
18	2	fire	obsidian-research
19	1	fire	obsidian-research
19	2	fire	obsidian-research
20	1	fire	obsidian-research
20	2	fire	obsidian-research
21	1	not:deep-deep-research	deep-deep-research
21	2	not:deep-deep-research	deep-deep-research
22	1	not:deep-deep-research	deep-deep-research
22	2	not:deep-deep-research	deep-deep-research
23	1	not:fact-check	fact-check
23	2	not:fact-check	fact-check
24	1	not:wiki-auto-research	wiki-auto-research
24	2	not:wiki-auto-research	wiki-auto-research
25	1	not:obsidian-tldr	obsidian-tldr
25	2	not:obsidian-tldr	obsidian-tldr
26	1	not:none	NONE
26	2	not:none	NONE
27	1	ambiguous	research-team
27	2	ambiguous	research-team
28	1	ambiguous	research-team
28	2	ambiguous	research-team
29	1	ambiguous	research-team
29	2	ambiguous	research-team
